alkaline,碱性,,,3,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
salient,显著的,,,3,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
due,适当，充分,,,3,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
settlement,殖民地,,,3,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
ablation,刻蚀,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
mountain range,山脉,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
savory,味道好,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
vocational school,技校,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
err,（动词）犯错误,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
fiscal,财政相关，税收相关,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
cash register,收银机,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
yam,山药,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
customarily,习惯上,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
gush,吹捧,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
thaw,融化,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
margarine,人造黄油,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
greenery,绿色植物,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
carton,纸板盒子,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
culinary,烹饪相关的,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
crosswalk,人行横道,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
townhouse,联排房,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
bungalow,平房,,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
hasty,仓促,A hasty movement， action， or statement is sudden， and often done in reaction to something that has just happened.,,2,Sun Jan 17 2021 15:58:04 GMT-0500 (Eastern Standard Time)
